site_id,facility_name,cupa,physical_address,total_evals,total_violations,latest_eval,years_since,seismic,has_ammonia,is_food,is_refinery,is_p3,is_p2,iiar9_gap,revalid_overdue,revalid_soon,reval_due_year,pre_epa2024,urgency_score,notes,recommended_pitch,pain_points
403657,TESORO REFINING AND MARKETING COMPANY LLC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,16,1,2022-09-09,3.5,High,False,False,True,True,False,False,False,False,2027,True,7,[],EPA 2024 RMP Rule Compliance Review,EPA 2024 RMP Rule: Third-party audit + STAA requirements unaddressed | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required | Program 3 confirmed: STAA + enhanced third-party audits mandatory
403723,THE GARLIC COMPANY,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,9,6,2023-01-31,3.1,Medium,False,False,False,False,False,True,False,False,2028,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 6 violations on record
403994,THE SYGMA NETWORK INC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,2,2023-05-12,2.8,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
404377,"Valence Lynwood DBA Triumph Processing, Inc.",Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,10,1,2024-05-08,1.8,High,False,False,False,False,False,True,False,False,2029,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
404390,TROPICANA MANUFACTURING COMPANY INC.,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,8,2,2023-11-27,2.3,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
405241,VACCO INDUSTRIES,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,4,1,2017-01-30,9.1,High,False,False,False,False,False,False,True,False,2022,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2017-01-30 (9.1 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
405250,Valencia Water Reclamation Plant,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,1,2025-03-27,0.9,High,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
405359,VARSITY PRODUCE,Kern County Env Health Services Department,VERIFY via CERS SiteID or EPA ECHO,9,4,2025-04-04,0.9,Medium,True,False,False,False,False,True,False,False,2030,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
407349,WALNUT CREEK ENERGY PARK,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,2,2023-10-27,2.4,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
407718,Whittier Narrows Water Reclamation Plant,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,7,3,2023-11-30,2.3,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
407851,Bolthouse Fresh Foods- HOLTVILLE,Imperial CUPA - DTSC,VERIFY via CERS SiteID or EPA ECHO,3,2,2022-02-25,4.0,Medium,False,False,False,False,False,True,False,True,2027,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation DUE 2027: Plan now (2022-02-25) | Prior violation history: 2 violations on record
407913,WOODWARD HRT,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,2,1,2015-07-15,10.6,High,False,False,False,False,False,False,True,False,2020,False,7,[],RMP 5-Year Revalidation,RMP Revalidation OVERDUE: Last eval 2015-07-15 (10.6 yrs ago) | Prior violation history: 1 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
407940,WWF Operating Company LLC,Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,12,3,2025-05-30,0.8,High,False,False,False,False,False,True,False,False,2030,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
410819,Bodycote Thermal Processing (Bissell Place),Los Angeles County Fire Department,VERIFY via CERS SiteID or EPA ECHO,5,3,2023-07-19,2.6,High,False,False,False,False,False,True,False,False,2028,False,7,[],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 3 violations on record | High seismic zone: IIAR 9 Section 6.6 bracing documentation required
411191,EDWARDS LIFESCIENCE LLC (HEART VALV,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,36,2,2024-06-19,1.7,Medium,True,False,False,True,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
411802,MESA COLD STORAGE,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,15,3,2022-03-01,4.0,Medium,True,True,False,False,False,True,False,True,2027,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation DUE 2027: Plan now (2022-03-01) | Prior violation history: 3 violations on record
413158,AMERICOLD,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,20,2,2024-07-15,1.6,Medium,True,True,False,True,False,True,False,False,2029,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Prior violation history: 2 violations on record | Program 3 confirmed: STAA + enhanced third-party audits mandatory
413185,B BRAUN US PHARMACEUTICAL LLC,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,27,4,2025-06-09,0.7,Medium,True,False,False,False,False,True,False,False,2030,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | Significant violation history: 4 violations on record
418772,FUTURE FOAM,Orange County Environmental Health,VERIFY via CERS SiteID or EPA ECHO,23,2,2021-05-19,4.8,Medium,False,False,False,False,False,True,False,True,2026,False,7,['Medium seismic zone: Verify IIAR 9 seismic bracing compliance'],IIAR 9 MI Program Development,IIAR 9 MI Program: No evidence of update (Jan 2026 deadline passed) | RMP Revalidation DUE 2026: Plan now (2021-05-19) | Prior violation history: 2 violations on record
